STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNOW,TAVG,TMAX,TMIN,TOBS,TSUN,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT11,WT13,WT14,WT16,WT18,WT22
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,4/6/13,0,,,67,34,42,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,4/7/13,0,,,74,34,34,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,4/8/13,0,,,80,34,53,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,4/9/13,0,,,86,53,58,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,4/10/13,0,,,88,58,61,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,4/11/13,,,,83,61,61,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,4/12/13,,,,79,52,66,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,4/13/13,0,,,74,45,52,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,4/14/13,0.01,,,81,45,45,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,4/15/13,0,,,72,45,60,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,4/16/13,0,,,76,54,55,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,4/17/13,0,,,82,55,56,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,4/18/13,0,,,79,56,58,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,4/19/13,0.79,,,82,47,68,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,4/20/13,0,,,68,39,48,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,4/21/13,0,,,62,37,41,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,4/22/13,0.02,,,60,37,37,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,4/23/13,0,,,64,37,47,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,4/24/13,0,,,77,47,49,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,4/25/13,0,,,70,48,57,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,4/26/13,0,,,72,50,52,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,4/27/13,0,,,74,50,50,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,4/28/13,1.43,,,62,50,54,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,4/29/13,0.07,,,70,54,59,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,4/30/13,0,,,64,55,60,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,5/1/13,0,,,60,56,57,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,5/2/13,0.02,,,63,49,56,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,5/3/13,0,,,69,49,49,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,5/4/13,0,,,65,49,49,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,5/5/13,0.06,,,60,49,49,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,5/6/13,1.23,,,67,48,57,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,5/7/13,0.06,,,71,49,49,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,5/8/13,0.65,,,73,49,53,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,5/9/13,0,,,78,53,53,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,5/10/13,0,,,85,53,55,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,5/11/13,0.06,,,82,55,68,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,5/12/13,0,,,73,48,62,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,5/13/13,0,,,65,39,48,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,5/14/13,0,,,69,40,40,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,5/15/13,0,,,86,40,56,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,5/16/13,0,,,84,56,64,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,5/17/13,0,,,85,63,64,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,5/18/13,,,,79,63,63,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,5/19/13,,,,79,63,66,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,5/20/13,0.93,,,76,66,67,,,,,,,,,,,,,,
